INFO:  2023-06-12 01:29:18,654:  14532:  main:  Extraction took: 0.012939214706420898 seconds.
INFO:  2023-06-12 01:29:18,654:  14532:  staging_load:  Start Warehouses staging load session.
INFO:  2023-06-12 01:29:18,669:  14532:  staging_load:  Staging load session of Warehouses completed successfully.
INFO:  2023-06-12 01:29:18,669:  14532:  staging_load:  Staging load session of Warehouses has ended.
INFO:  2023-06-12 01:29:18,670:  14532:  main:  Staging load of Warehouses CPU usage 0.0%.
INFO:  2023-06-12 01:29:18,670:  14532:  main:  Staging load took: 0.01598834991455078 seconds.
INFO:  2023-06-12 01:29:18,670:  14532:  extract:  Start Vendors extract session.
INFO:  2023-06-12 01:29:18,682:  14532:  extract:  Extraction session of Vendors completed successfully.
INFO:  2023-06-12 01:29:18,682:  14532:  main:  Extraction of Vendors CPU usage 0.0%.
INFO:  2023-06-12 01:29:18,682:  14532:  main:  Extraction took: 0.012120723724365234 seconds.
INFO:  2023-06-12 01:29:18,683:  14532:  staging_load:  Start Vendors staging load session.
INFO:  2023-06-12 01:29:18,697:  14532:  staging_load:  Staging load session of Vendors completed successfully.
INFO:  2023-06-12 01:29:18,697:  14532:  staging_load:  Staging load session of Vendors has ended.
INFO:  2023-06-12 01:29:18,698:  14532:  main:  Staging load of Vendors CPU usage 0.0%.
INFO:  2023-06-12 01:29:18,698:  14532:  main:  Staging load took: 0.015078544616699219 seconds.
INFO:  2023-06-12 01:29:18,698:  14532:  extract:  Start Commercial Invoices extract session.
INFO:  2023-06-12 01:29:22,905:  14532:  extract:  Extraction session of Commercial Invoices completed successfully.
INFO:  2023-06-12 01:29:22,908:  14532:  main:  Extraction of Commercial Invoices CPU usage 7.9%.
INFO:  2023-06-12 01:29:22,908:  14532:  main:  Extraction took: 4.209814786911011 seconds.
INFO:  2023-06-12 01:29:22,908:  14532:  staging_load:  Start Commercial Invoices staging load session.
INFO:  2023-06-12 01:29:22,924:  14532:  staging_load:  Staging load session of Commercial Invoices completed successfully.
INFO:  2023-06-12 01:29:22,924:  14532:  staging_load:  Staging load session of Commercial Invoices has ended.
INFO:  2023-06-12 01:29:22,924:  14532:  main:  Staging load of Commercial Invoices CPU usage 16.7%.
INFO:  2023-06-12 01:29:22,924:  14532:  main:  Staging load took: 0.016378164291381836 seconds.
INFO:  2023-06-12 01:29:22,924:  14532:  extract:  Start Freight Invoices extract session.
INFO:  2023-06-12 01:29:26,278:  14532:  extract:  Extraction session of Freight Invoices completed successfully.
INFO:  2023-06-12 01:29:26,280:  14532:  main:  Extraction of Freight Invoices CPU usage 7.0%.
INFO:  2023-06-12 01:29:26,280:  14532:  main:  Extraction took: 3.355940818786621 seconds.
INFO:  2023-06-12 01:29:26,280:  14532:  staging_load:  Start Freight Invoices staging load session.
INFO:  2023-06-12 01:29:26,297:  14532:  staging_load:  Staging load session of Freight Invoices completed successfully.
INFO:  2023-06-12 01:29:26,297:  14532:  staging_load:  Staging load session of Freight Invoices has ended.
INFO:  2023-06-12 01:29:26,297:  14532:  main:  Staging load of Freight Invoices CPU usage 0.0%.
INFO:  2023-06-12 01:29:26,297:  14532:  main:  Staging load took: 0.01688838005065918 seconds.
INFO:  2023-06-12 01:29:30,355:  14532:  warehouse_load:  Start Products warehouse load session.
INFO:  2023-06-12 01:29:30,368:  14532:  warehouse_load:  Warehouse load session of Products completed successfully.
INFO:  2023-06-12 01:29:30,368:  14532:  warehouse_load:  Warehouse load session of Products has ended.
INFO:  2023-06-12 01:29:30,368:  14532:  main:  Warehouse load of Products CPU usage 0.4%.
INFO:  2023-06-12 01:29:30,368:  14532:  main:  Warehouse load took: 0.013765096664428711 seconds.
INFO:  2023-06-12 01:29:30,368:  14532:  warehouse_load:  Start Shops warehouse load session.
INFO:  2023-06-12 01:29:30,381:  14532:  warehouse_load:  Warehouse load session of Shops completed successfully.
INFO:  2023-06-12 01:29:30,381:  14532:  warehouse_load:  Warehouse load session of Shops has ended.
INFO:  2023-06-12 01:29:30,381:  14532:  main:  Warehouse load of Shops CPU usage 0.0%.
INFO:  2023-06-12 01:29:30,381:  14532:  main:  Warehouse load took: 0.012662172317504883 seconds.
INFO:  2023-06-12 01:29:30,382:  14532:  warehouse_load:  Start Warehouses warehouse load session.
INFO:  2023-06-12 01:29:30,394:  14532:  warehouse_load:  Warehouse load session of Warehouses completed successfully.
INFO:  2023-06-12 01:29:30,394:  14532:  warehouse_load:  Warehouse load session of Warehouses has ended.
INFO:  2023-06-12 01:29:30,394:  14532:  main:  Warehouse load of Warehouses CPU usage 0.0%.
INFO:  2023-06-12 01:29:30,394:  14532:  main:  Warehouse load took: 0.012068748474121094 seconds.
INFO:  2023-06-12 01:29:30,394:  14532:  warehouse_load:  Start Vendors warehouse load session.
INFO:  2023-06-12 01:29:30,408:  14532:  warehouse_load:  Warehouse load session of Vendors completed successfully.
INFO:  2023-06-12 01:29:30,408:  14532:  warehouse_load:  Warehouse load session of Vendors has ended.
INFO:  2023-06-12 01:29:30,408:  14532:  main:  Warehouse load of Vendors CPU usage 8.3%.
INFO:  2023-06-12 01:29:30,408:  14532:  main:  Warehouse load took: 0.014273405075073242 seconds.
INFO:  2023-06-12 01:29:30,408:  14532:  warehouse_load:  Start Commercial Invoices warehouse load session.
INFO:  2023-06-12 01:29:30,423:  14532:  warehouse_load:  Warehouse load session of Commercial Invoices completed successfully.
INFO:  2023-06-12 01:29:30,423:  14532:  warehouse_load:  Warehouse load session of Commercial Invoices has ended.
INFO:  2023-06-12 01:29:30,423:  14532:  main:  Warehouse load of Commercial Invoices CPU usage 9.1%.
INFO:  2023-06-12 01:29:30,423:  14532:  main:  Warehouse load took: 0.014866828918457031 seconds.
INFO:  2023-06-12 01:29:30,423:  14532:  warehouse_load:  Start Freight Invoices warehouse load session.
INFO:  2023-06-12 01:29:30,437:  14532:  warehouse_load:  Warehouse load session of Freight Invoices completed successfully.
INFO:  2023-06-12 01:29:30,437:  14532:  warehouse_load:  Warehouse load session of Freight Invoices has ended.
INFO:  2023-06-12 01:29:30,437:  14532:  main:  Warehouse load of Freight Invoices CPU usage 10.0%.
INFO:  2023-06-12 01:29:30,437:  14532:  main:  Warehouse load took: 0.013716936111450195 seconds.
INFO:  2023-06-12 01:29:30,439:  14532:  main:  ETL Job took: 20.21445322036743 seconds.
INFO:  2023-06-12 01:29:30,439:  14532:  main:  Session Summary:
INFO:  2023-06-12 01:29:30,439:  14532:  main:  RAM memory 42.4% used.
INFO:  2023-06-12 01:29:30,439:  14532:  main:  CPU usage 0.0%.
